ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
L0001,cyber,"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.",the full paper deadline has passed,,CHECK,CHECK,the full paper deadline has passed,,,,pending
L0002,cyber,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",one week  before the full paper is submitted,,CHECK,CHECK,one week  before the full paper is submitted,,,,pending
L0003,cyber,Downloading of papers by the reviewers can start as soon as papers are submitted.,,,CHECK,CHECK,,,,,pending
L0004,cyber,"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",,,CHECK,CHECK,,,,,pending
L0005,cyber,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",After the meeting,,CHECK,CHECK,After the meeting,,,,pending
L0006,cyber,"After the PC meeting, the PCC must inform the maintainer about the accepted papers, so that the notifications can be sent to the authors.",After the PC meeting,,CHECK,CHECK,After the PC meeting,,,,pending
L0007,cyber,"After the program committee meeting has taken place, and papers have been selected, the (anonymous) comments can be automatically sent to the authors.",,,CHECK,CHECK,,,,,pending
L0008,cyber,"When a reviewer reaches this maximum, he or she will not be part of the preference lists, because apparently his or her expertise is needed to review ’less popular’ papers.",,,CHECK,CHECK,,,,,pending
L0009,cyber,The 4 reviewers with the least number of papers assigned so far ’get’ the paper.,,,CHECK,CHECK,,,,,pending
L0010,cyber,"In case the ’expertise-value’ is equal, the reviewer with the least number of papers assigned so far ’gets’ the paper.",,,CHECK,CHECK,,,,,pending
L0011,cyber,These overviews can be printed in case reviewers want to read the abstracts offline.,,,CHECK,CHECK,,,,,pending
L0012,cyber,"Finally, after the camera-ready papers have been submitted, the proceedings must be prepared by the maintainer by entering the conference sessions and the numbers of the papers within those sections in a specific template file.",,,CHECK,CHECK,,,,,pending
L0013,cyber,The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,,,CHECK,CHECK,,,,,pending
L0014,cyber,"Based on the preferences and the reviewers' expertise, CyberChair calculates a paper assignment proposal for the chair, where as many as possible preferences of the reviewers are honored, provided that all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers.",,"all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers",CHECK,CHECK,,"all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers",,,pending
L0015,cyber,"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.",,,CHECK,CHECK,,,,,pending
L0016,cyber,"When all submissions have arrived, suitable members of the Program Committee (PC) must be selected to review each paper.",,,CHECK,CHECK,,,,,pending
L0017,cyber,"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.",,,CHECK,CHECK,,,,,pending
L0018,cyber,"Moreover, since we chose to regenerate the state of all papers displayed on the reviewer’s webpage every 5 minutes, this would make it almost impossible for reviewers to enter a review form.",,regenerate the state of all papers displayed on the reviewer’s webpage every 5 minutes,CHECK,CHECK,,regenerate the state of all papers displayed on the reviewer’s webpage every 5 minutes,,,pending
L0019,cyber,"In case not enough reviewers can be found to review a paper, this is an indication that the script should be better tuned.",,,CHECK,CHECK,,,,,pending
L0020,cyber,"For each paper, a list of the reviewers who indicated a high preference for the paper is generated.",,,CHECK,CHECK,,,,,pending
L0021,cyber,"After the review process, the authors of submitted papers should submit a camera-ready version of their paper, analogous to step 2.",After the review process,,CHECK,CHECK,After the review process,,,,pending
L0022,cyber,"Each time the reviewer clicks on a paper number in the top frame, CyberChair checks if the reviewer has already submitted his or her review.",,,CHECK,CHECK,,,,,pending
L0023,cyber,"When displaying a review, the date and time of the last update of the review is shown as extra check.",When displaying a review,,CHECK,CHECK,When displaying a review,,,,pending
L0024,cyber,"After clicking on a paper number several hyperlinks are generated to allow the paper to be downloaded, to display the abstract and to submit or update a review.",,,CHECK,CHECK,,,,,pending
L0025,cyber,Papers that have not received enough bids should be assigned based on the expertise of the reviewers.,,Papers that have not received enough bids,CHECK,CHECK,,Papers that have not received enough bids,,,pending
L0026,cyber,"If the publisher allows electronic versions, the maintainer should send or upload the proceedings, for further preparation by the publisher.",,,CHECK,CHECK,,,,,pending
L0027,cyber,"After the paper distribution, CyberChair generates a personal, password-protected webpage for each reviewer.",After the paper distribution,,CHECK,CHECK,After the paper distribution,,,,pending
L0028,cyber,"In case conflicting reviews exist, the reviewers can use the hyperlink that enables easy communication to the other reviewers by email.",,,CHECK,CHECK,,,,,pending
L0029,cyber,"When the level of agreement differs too much, the reviewers and chair may give it special attention, even before the PC meeting takes place.",,,CHECK,CHECK,,,,,pending
L0030,cyber,Not all reviewers like to fill in review forms on-line.,,,CHECK,CHECK,,,,,pending
L0031,cyber,In The Information Lens  the authors focus on sharing information among a group of people to solve problems.,,In The Information Lens,CHECK,CHECK,,In The Information Lens,,,pending
L0032,cyber,"After submission of a review, reviewers will be able to read the other reviewers' reviews.",After submission of a review,,CHECK,CHECK,After submission of a review,,,,pending
L0033,cyber,"After submission of a review, reviewers will be able to prepare for the PC meeting.",After submission of a review,,CHECK,CHECK,After submission of a review,,,,pending
L0034,cyber,"When a reviewer has submitted all his reviews and has time to review more papers, he may look at the overview containing all papers.",a reviewer has submitted all his reviews and has time to review more papers,,CHECK,CHECK,a reviewer has submitted all his reviews and has time to review more papers,,,,pending
L0035,cyber,"When a reviewer has submitted all his reviews and has time to review more papers, he may select papers for which conflicting reviews exist.",When a reviewer has submitted all his reviews and has time to review more papers,,CHECK,CHECK,When a reviewer has submitted all his reviews and has time to review more papers,,,,pending
L0036,cyber,"If there are still not enough reviewers for the paper, the expertise level of reviewers of all topics the paper covers is calculated.",,,CHECK,CHECK,,,,,pending
L0037,cyber,"If there are still not enough reviewers for the paper, the paper is assigned to the reviewers with the highest overall expertise.",,,CHECK,CHECK,,,,,pending
L0038,ibm,"""If no alternates are available, then no substitution will be made.""",,no alternates are available,CHECK,CHECK,,no alternates are available,,,pending
L0039,ibm,"""If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.""",,a course offering becomes full while a student is building a schedule including that offering,CHECK,CHECK,,a course offering becomes full while a student is building a schedule including that offering,,,pending
L0040,ibm,"""If, in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist, the system displays an error message.""","in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist",,CHECK,CHECK,"in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist",,,,pending
L0041,ibm,"""If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.""","in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist",,CHECK,CHECK,"in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist",,,,pending
L0042,ibm,"""If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.""","in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule",,CHECK,CHECK,"in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule",,,,pending
L0043,ibm,"""If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).""",,,CHECK,CHECK,,,,,pending
L0044,ibm,"""If, in the Basic Flow, the professor is not eligible to teach any course offerings in the upcoming semester, the system will display an error message.""",,,CHECK,CHECK,,,,,pending
L0045,ibm,"""If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.""",,,CHECK,CHECK,,,,,pending
L0046,ibm,"""Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.""",,registration process is completed for a student,CHECK,CHECK,,registration process is completed for a student,,,pending
